ZIP,LAT,LNG,City,State ,County
83001,43.394562,-110.629837,Jackson,WY,Teton
83011,43.524181,-110.455876,Kelly,WY,Teton
83012,43.732474,-110.790692,Moose,WY,Teton
83013,43.993776,-110.465478,Moran,WY,Teton
83014,43.448623,-110.966891,Wilson,WY,Teton
83025,43.593898,-110.846405,Teton Village,WY,Teton
83101,41.959496,-110.553166,Kemmerer,WY,Lincoln
83110,42.725902,-110.849219,Afton,WY,Lincoln
83111,42.771912,-111.174095,Auburn,WY,Lincoln
83112,42.920608,-110.832476,Bedford,WY,Lincoln
83113,42.531855,-110.257868,Big Piney,WY,Sublette
83114,42.264515,-110.984637,Cokeville,WY,Lincoln
83115,42.89164,-110.315245,Daniel,WY,Sublette
83116,41.769544,-110.533471,Diamondville,WY,Lincoln
83118,43.047855,-110.997576,Etna,WY,Lincoln
83119,42.643918,-110.988197,Fairview,WY,Lincoln
83120,42.915847,-111.117315,Freedom,WY,Lincoln
83121,41.819716,-110.533905,Frontier,WY,Lincoln
83122,42.820269,-110.946542,Grover,WY,Lincoln
83123,42.221111,-110.250207,La Barge,WY,Lincoln
83124,41.773109,-110.234012,Opal,WY,Lincoln
83126,42.593741,-110.830763,Smoot,WY,Lincoln
83127,42.960329,-110.963578,Thayne,WY,Lincoln
83128,43.040079,-110.722208,Alpine,WY,Lincoln
83201,42.904916,-112.380093,Pocatello,ID,Bannock
83202,42.925511,-112.182742,Pocatello,ID,Bannock
83203,43.042389,-112.49596,Fort Hall,ID,Bingham
83204,42.856338,-112.629866,Pocatello,ID,Bannock
83209,42.857791,-112.426322,Pocatello,ID,Bannock
83210,43.020349,-112.869167,Aberdeen,ID,Bingham
83211,42.701149,-113.028458,American Falls,ID,Power
83212,42.538792,-112.543984,Arbon,ID,Power
83213,43.539315,-113.266776,Arco,ID,Butte
83214,42.539846,-112.307675,Arimo,ID,Bannock
83215,43.443158,-112.812491,Atomic City,ID,Bingham
83217,42.777857,-111.942715,Bancroft,ID,Caribou
83218,43.317687,-112.165272,Basalt,ID,Bingham
83220,42.377246,-111.423173,Bern,ID,Bear Lake
83221,43.324081,-112.552045,Blackfoot,ID,Bingham
83223,42.181781,-111.406959,Bloomington,ID,Bear Lake
83226,44.631888,-114.34981,Challis,ID,Custer
83227,44.24891,-114.50673,Clayton,ID,Custer
83228,42.233673,-112.060271,Clifton,ID,Franklin
83232,42.138463,-111.971088,Dayton,ID,Franklin
83233,42.135042,-111.237956,Dingle,ID,Bear Lake
83234,42.422579,-112.101094,Downey,ID,Bannock
83235,44.574889,-113.698601,Ellis,ID,Custer
83236,43.191095,-111.872456,Firth,ID,Bingham
83237,42.027452,-111.778558,Franklin,ID,Franklin
83238,42.321016,-111.116429,Geneva,ID,Bear Lake
83239,42.53406,-111.289969,Georgetown,ID,Bear Lake
83241,42.514851,-111.765362,Grace,ID,Caribou
83243,42.297492,-112.651289,Holbrook,ID,Oneida
83244,44.116803,-113.123868,Howe,ID,Butte
83245,42.818119,-112.207732,Inkom,ID,Bannock
83246,42.611071,-112.02462,Lava Hot Springs,ID,Bannock
83250,42.672528,-112.204751,Mccammon,ID,Bannock
83251,43.94358,-113.881212,Mackay,ID,Custer
83252,42.174414,-112.406564,Malad City,ID,Oneida
83253,44.315204,-113.690673,May,ID,Lemhi
83254,42.328779,-111.271877,Montpelier,ID,Bear Lake
83255,43.685697,-113.583637,Moore,ID,Butte
83261,42.216058,-111.433149,Paris,ID,Bear Lake
83262,43.22576,-112.774493,Pingree,ID,Bingham
83263,42.181249,-111.753213,Preston,ID,Franklin
83271,42.442204,-112.91278,Rockland,ID,Power
